...1;FuD.Key;Nr.;Verfasser;GND..Verfasser.;VIAF..Verfasser.;EmpfÌ_nger;GND..EmpfÌ_nger.;VIAF..EmpfÌ_nger.;Datierung..JJJJ.MM.TT.;Ausstellungsort;Geonames..Ausstellungsort.;Empfangsort;Geonames..Empfangsort.;Vorlage;VollstÌ_ndigkeit.des.Archivals;ErlÌ_uterung.UnvollstÌ_ndigkeit;Umfang.in.Seiten;Anfang.des.Briefes;Inhaltliche.Stichpunkte;Weitere.Personen;GND..Weitere.Personen.;VIAF..Weitere.Personen.;Orte;Geonames..Orte.;SchlagwÌ¦rter;Weitere_Pers1_genre;Weitere_Pers2_genre;Verfasser1_gender;Verfasser2_gender
8064;CdS-b1-0841;CdS/17/036-038;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1831-06-02;Paris;https://www.geonames.org/2988507;NA;NA;Abschrift;vollstÌ_ndig;NA;5;J‰Ûªai Ì©tÌ© si occupÌ©e depuis mon retour ici, cher frÌ¬re, que je n‰Ûªai pu trouver le moment de t‰ÛªÌ©crire;VerspÌ_tete Antwort aufgrund der Arbeiten an einer neuen VerÌ¦ffentlichung, von der sie T. zwei Exemplare zusendet. Kurze Bemerkung zu dieser VerÌ¦ffentlichung (‰Û_ÌäpÌ¨tre aux souverains absolus‰ÛÏ), Warten auf die Reaktionen der Presse. T.s Zufriedenheit mit seiner neuen Stellung [als PrÌ_fekt in Limoges]. CdS‰Ûª Sicht auf die aktuellen Ereignisse. Meinungsunterschied zu Monsieur de Saint-Cricq, Schwiegervater der JosÌ©phine de ThÌ©is. Bevorstehende RÌ_ckreise SRDs nach Dyck. CdS‰Ûª Abreise aus Paris, sobald ein Kriegsbeginn bevorzustehen scheint. Verweis auf 1814. Zahlreiche gesellschaftliche und berufliche Verpflichtungen der CdS. Constants Jurastudium ab Oktober. Gesundheit. GrÌ_ÌÙe.;"Salm-Reifferscheidt-Dyck, Joseph FÌ_rst und Altgraf zu (SRD); Francq, Constant de; Saint-Cricq, Pierre-Laurent-BarthÌ©lÌ©my de (Schwiegervater der JosÌ©phine); Saint-Mars, Madame de; ThÌ©is, Anne Marguerite de, geb. de Saint-Mars (Frau des Bruders der CdS); ThÌ©is, JosÌ©phine de, verh. Saint-Cricq, gen. Finette";"http://d-nb.info/gnd/1159074453; n/a; n/a; n/a; n/a; n/a";"http://viaf.org/viaf/1847152636116120051820; n/a; http://viaf.org/viaf/38444704; n/a; n/a; n/a";NA;NA;CdS: ÌäpÌ¨tre aux souverains absolus (1831);male;male;Female;NA
8065;CdS-b1-083i;CdS/16/244-245;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1829-12-15;Aventure / L'Aventure (Schloss), Gde. Chauny;https://www.geonames.org/3025860;NA;NA;Abschrift;vollstÌ_ndig;NA;3;ChÌ¬re sÒur, j'ai reÌ¤u en son temps, la lettre par laquelle tu m'apprenais ton dÌ©part d'Aix pour Paris;Vermutung, dass CdS in Paris angekommen ist. Ts Aufenthalt in Aventure. Erinnerung an die Vergangenheit. Altern. Zufriedenheit mit der Entwicklung seiner Kinder. Notwendigkeit, eine Position fÌ_r Charles zu finden.;"ThÌ©is, Charles Constant de; ThÌ©is, Adolphe de; ThÌ©is, JosÌ©phine de, verh. Saint-Cricq, gen. Finette";"http://d-nb.info/gnd/117624365; n/a; n/a";"http://viaf.org/viaf/794527; n/a; n/a";BrÌ_ssel;https://www.geonames.org/2800866;"Alter/Jugend; Karriere/-fÌ¦rderung";male;male;Male;NA
8066;CdS-b1-083p;CdS/17/010-011;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1830-07-26;Laon;https://www.geonames.org/3007477;NA;NA;Abschrift;vollstÌ_ndig;NA;3;ChÌ¬re sÒur, j'ai reÌ¤u ta derniÌ¬re lettre en son temps et j'ai tardÌ© longtems ÌÊ y rÌ©pondre;Unsichere Situation. BeschÌ_ftigung mit den Wahlen. Keine Stimmen fÌ_r Ladoucette. Ernennung des M. de Saint-Cricq ins Grand CollÌ¬ge, aber die Ordonnanz Ì_ndert alles. VerÌ_nderungen. Sorge, dass der PrÌ_fekt wechseln kÌ¦nnte. T. wÌ_rde seinen Posten nicht vermissen, Charles wÌ_rde auch zurechtkommen. Schlechter Charakter des M. de Saint-Cricq. Wohlergehen der Familie.;"ThÌ©is, Charles Constant de; Ladoucette, Jean Charles FranÌ¤ois, baron de; Saint-Cricq, Pierre-Laurent-BarthÌ©lÌ©my de (Schwiegervater der JosÌ©phine); Walckenaer, Charles Athanase, baron; ThÌ©is, JosÌ©phine de, verh. Saint-Cricq, gen. Finette";"http://d-nb.info/gnd/117624365; http://d-nb.info/gnd/116643919; n/a; http://d-nb.info/gnd/117116661; n/a";"http://viaf.org/viaf/794527; http://viaf.org/viaf/89245444; http://viaf.org/viaf/38444704; http://viaf.org/viaf/41966402; n/a";NA;NA;Frankreich - Politik;male;female;Male;NA
8068;CdS-b1-0859;CdS/17/136-137;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1833-10-30;Paris;https://www.geonames.org/2988507;NA;NA;Abschrift;vollstÌ_ndig;NA;2;ChÌ¬re sÒur, nous voilÌÊ ÌÊ Paris depuis quelques jours aprÌ¬s un sÌ©jour ÌÊ Limoges que plusieurs circonstances ont prolongÌ©.;Ankunft in Paris. Geplanter fÌ_nfmonatiger Aufenthalt und danach Abreise der Familie nach Aventure. Wunsch nach einem zurÌ_ckgezogenen Leben in Paris aufgrund der Trauer [infolge des Todes seines Sohnes Adolphe], die auch CdS kennt. Gestriges Zusammentreffen mit Alexandre. Freude, dass SRD CdS nach Paris begleiten wird. Vorfreude auf ein Wiedersehen mit CdS nach vier Jahren Trennung.;"Salm-Reifferscheidt-Dyck, Joseph FÌ_rst und Altgraf zu (SRD); Francq, Alexandre de";"http://d-nb.info/gnd/1159074453; n/a";"http://viaf.org/viaf/1847152636116120051820; n/a";Aventure / L'Aventure (Schloss), Gde. Chauny;https://www.geonames.org/3025860;Tod/Trauer;male;male;Male;NA
8069;CdS-b1-085b;CdS/17/140-141;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1833-12-30;Paris;https://www.geonames.org/2988507;NA;NA;Abschrift;vollstÌ_ndig;NA;2;ChÌ¬re sÒur, voilÌÊ donc encore une annÌ©e qui finit et une autre qui va commencer;Beginn des neuen Jahres. T. im Alter widerfahrenes UnglÌ_ck [Tod des Adolphe]. NeujahrswÌ_nsche. Ts zurÌ_ckgezogenes Leben in Paris. Bedauern Ì_ber verzÌ¦gerte Parisreise der CdS. Zusatz seiner Tochter:  verschobene Reise der CdS. Der Familie T. widerfahrenes UnglÌ_ck. NeujahrswÌ_nsche. Freude, dass SRD CdS begleiten wird. Erkrankung ihres Bruders Charles.;"ThÌ©is, Charles Constant de; Drais, Pierre (Vertrauensmann der CdS)";"http://d-nb.info/gnd/117624365; http://d-nb.info/gnd/1188442287";"http://viaf.org/viaf/794527; http://viaf.org/viaf/24156073846353862446";NA;NA;Tod/Trauer;male;male;Male;NA
8070;CdS-b1-084l;CdS/17/077-079;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1832-05-10;Limoges;https://www.geonames.org/2998286;NA;NA;Abschrift;vollstÌ_ndig;NA;4;ChÌ¬re bonne sÒur, j'ai reÌ¤u ta lettre en son temps, et elle m'a fait d'autant plus de plaisir;Freude Ì_ber von CdS selbst geschriebenen Brief. Ts Altern. Seine Absicht, nach drei Jahren als PrÌ_fekt in Rente zu gehen. Seine Zuneigung zur BevÌ¦lkerung des Limousin. Ausbreitung der Cholera, Ts Departement ist bis jetzt kaum betroffen. Aufenthalt seiner Kinder in Paris wÌ_hrend der Cholera. Schlechtes Verhalten des Ehemannes seiner Tochter. DiesbezÌ_glicher Brief an dessen Vater, der daraufhin Auguste zu seinem Onkel schickt. Auseinandersetzung der CdS mit Adolphe. Verweis auf Adolphes Jugend, AnkÌ_ndigung, dass es keine Entschuldigung von dessen Seite geben wird.;"ThÌ©is, Adolphe de; Saint-Cricq, Auguste de (Ehemann von CdS' Nichte JosÌ©phine); Saint-Cricq, Pierre-Laurent-BarthÌ©lÌ©my de (Schwiegervater der JosÌ©phine); ThÌ©is, JosÌ©phine de, verh. Saint-Cricq, gen. Finette; Saint-Cricq, Charles de";"n/a; n/a; n/a; n/a; n/a";"n/a; http://viaf.org/viaf/313412975; http://viaf.org/viaf/38444704; n/a; n/a";Creil;https://www.geonames.org/3022610;"Cholera; Familie/Familienrecht";male;male;Male;NA
8071;CdS-b1-085g;CdS/17/147-148 und 150-151;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;NA;Aventure / L'Aventure (Schloss), Gde. Chauny;https://www.geonames.org/3025860;NA;NA;Abschrift;vollstÌ_ndig;NA;4;J'ai reÌ¤u ta lettre du 1er aoÌÈt, chÌ¬re sÒur, et les embarras de toute couleur,;Aufwendige Renovierungsarbeiten in Aventure. GeschwÌ_chte Gesundheit der CdS. T. schreibt nicht mehr, sondern korrigiert nur seine Schriften. Sein Leben: im Kreise der Familie leben, gÌ_rtnern, lesen. Seine Mietwohnung in Paris (Faubourg Saint Germain). GleichgÌ_ltigkeit gegenÌ_ber den den Bewohnern dieses Viertels zugeschriebenen Ansichten. Manchmal zu weit gehende Leidenschaftlichkeit der CdS in politischen Fragen. DiesbezÌ_gliche Beschwerde Ì_ber unangenehme Aussagen der CdS ihm und seiner Familie gegenÌ_ber. Von einem GefÌ_hl der ÌÏberlegenheit geprÌ_gte Verhaltensweise der CdS ihm gegenÌ_ber. Bedauern Ì_ber schlechten Gesundheitszustand des Constant. Ruhige Lage. GroÌÙe Bauarbeiten in Saint-Gobain. Ts Ablehnung der 'Fortschritte der Industrie'.;Francq, Constant de;NA;NA;"Paris; Aventure / L'Aventure (Schloss), Gde. Chauny; Saint-Gobain";"https://www.geonames.org/2988507; https://www.geonames.org/3025860; https://www.geonames.org/2979648";"Wohnen/Haushalt; Alter/Jugend; Technik/Fortschritt";male;NA;Male;NA
8072;CdS-b1-084x;CdS/17/104-105;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1832-12-30;Limoges;https://www.geonames.org/2998286;NA;NA;Abschrift;vollstÌ_ndig;NA;3;ChÌ¬re sÒur, tu avais annoncÌ© ÌÊ ma fille, il y a dÌ©jÌÊ quelque temps,;Ausbleibende Neuigkeiten von CdS. Bewegtes Jahrhundert. Alter. Ts Position macht ihm im Alter zu schaffen. Angenehme Landschaft, Freunde. Knappes Budget. Ts Gesundheitszustand. Inspektion der Nationalgarde des Departements. MerkwÌ_rdige BrÌ_uche im Limousin.;"Louis-Philippe Ier, KÌ¦nig der Franzosen; ThÌ©is, JosÌ©phine de, verh. Saint-Cricq, gen. Finette";"http://d-nb.info/gnd/11864064X; n/a";"http://viaf.org/viaf/55392984; n/a";NA;NA;Alter/Jugend;NA;NA;Male;NA
8073;CdS-b1-085s;CdS/17/194-195;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Charles Constant de;http://d-nb.info/gnd/117624365;http://viaf.org/viaf/794527;1836-05-06;Paris;https://www.geonames.org/2988507;NA;NA;Abschrift;vollstÌ_ndig;NA;3;Depuis que j‰Ûªai reÌ¤u ta lettre de Berlin je me suis bien souvent proposÌ© de t‰ÛªÌ©crire, Charles, mais j‰Ûªavais le cÒur;Dank fÌ_r Brief aus Berlin. VerspÌ_tete Antwort aus EnttÌ_uschung Ì_ber C.s fehlende Anteilnahme am Tod des Constant. Klage Ì_ber C.s Aufenthalt weit entfernt von seiner Familie. FrÌ_here Bekannte der CdS (Madame Zayonscheck = Zajaczek, Monsieur Girard), die C. in Warschau kennengelernt hat. PS: Diktat dieses Briefs wegen rheumatischer Beschwerden in der Hand.;"Girard, Joseph-FranÌ¤ois-Henri, chevalier de; Francq, Constant de; Drais, Pierre (Vertrauensmann der CdS); Zaj€Éczek, Frau (Witwe des ehemaligen polnischen VizekÌ¦nigs)";"n/a; n/a; http://d-nb.info/gnd/1188442287; n/a";"http://viaf.org/viaf/76306516; n/a; http://viaf.org/viaf/24156073846353862446; n/a";NA;NA;Tod/Trauer;NA;male;Female;NA
8074;CdS-b1-0854;CdS/17/123-124;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Saint-Mars, gÌ©nÌ©ral vicomte de (Bruder der SchwÌ_gerin der CdS);NA;NA;1833-08-03;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;vollstÌ_ndig;NA;3;Au moment de mon dÌ©part, mon cher GÌ©nÌ©ral, j‰Ûªai appris par une lettre de mon frÌ¬re;Freitod ihres Neffen Adolphe. Reise nach Dyck. Wenige Nachrichten von ihrem Bruder. Dessen Amtsenthebung. Ruhe und ZurÌ_ckgezogenheit in Dyck. HintergrÌ_nde des Freitods. Bitte um weitere Informationen. GrÌ_ÌÙe auch von SRD. PS: Vergebliche BemÌ_hungen des Constant, S.-M. persÌ¦nlich anzutreffen. Empfehlung eines Monsieur Salmon. [Fortsetzung am 1833-08-04:] Unruhen in Limoges anlÌ_sslich der Ankunft des neuen PrÌ©fets. Bitte um Schreiben.;"Francq, Constant de; ThÌ©is, Charles Constant de; ThÌ©is, Adolphe de";"n/a; http://d-nb.info/gnd/117624365; n/a";"n/a; http://viaf.org/viaf/794527; n/a";NA;NA;"Tod/Trauer; Ehe/Liebe";male;male;Female;NA
8075;CdS-b1-084s;CdS/17/090-091;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Charles Constant de;http://d-nb.info/gnd/117624365;http://viaf.org/viaf/794527;1832-08-17;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;vollstÌ_ndig;NA;2;J‰Ûªai reÌ¤u ta lettre ces jours-ci, mon cher Charles, et Ì©crivant ÌÊ ton pÌ¬re, je veux profiter de l‰Ûªoccasion;Dank fÌ_r Brief. C.s Genesung nach Erkrankung. Zufriedenheit mit der Entwicklung ihrer Enkel. Sorge vor weiterer Ausbreitung der Cholera. ÌĞffnung der Schwefelquellen in Aachen zur Abwehr der Krankheit. Pilger in Aachen zur Ausstellung der Reliquien. Ist C. Leser einer royalistischen Zeitung (‰Û_La Quotidienne‰ÛÏ)? GrÌ_ÌÙe. Rheumatische Beschwerden der CdS.;Francq, Alexandre de;NA;NA;NA;NA;"Religion/Kirche; Cholera; Presse";male;NA;Female;NA
8076;CdS-b1-085n;CdS/17/179-180;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1835-08-29;NA;NA;NA;NA;Abschrift;vollstÌ_ndig;NA;2;J‰ÛªÌ©tais si malade la derniÌ¬re fois que je t‰Ûªai Ì©crit, cher frÌ¬re, que je ne veux pas tarder;Schrittweise Besserung ihrer Gesundheit. Beschwerliche Reise. CdS‰Ûª Abneigung gegen alle Verschreibungen und RatschlÌ_ge ihrer Ìãrzte. T.s Aussage zu HÌ©bert. Verlust vieler Freunde, Kennzeichen des Alters. Zitat aus CdS‰Ûª Girodet-Nachruf.;HÌ©bert, Monsieur (AcadÌ©mie des sciences de Caen);NA;NA;NA;NA;"CdS: Sur Girodet (1825); Alter/Jugend; Tod/Trauer; Medizin/ Impfung";NA;NA;Female;NA
8077;CdS-b1-0877;CdS/17/262-263;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1838-11-04;Aventure / L'Aventure (Schloss), Gde. Chauny;https://www.geonames.org/3025860;NA;NA;Abschrift;vollstÌ_ndig;NA;3;ChÌ¬re sÒur, j'ai attendu ton anniversaire pour rÌ©pondre ÌÊ ta derniÌ¬re lettre.;"Mit GleichgÌ_ltigkeit genommenes Altern der CdS? Sein Alter und kÌ¦rperliche Gebrechen. AnfÌ_lligkeit im Alter, verstÌ_rkt durch den Winter. Abheilen seines Geschwulstes; weiteres Geschwulst. Gleiche Erkrankung seiner GroÌÙmutter und seines Vaters, wenn dieser so alt geworden wÌ_re. Deren sich nÌ_hernde Todestage[?]. Bewegte, ereignisreiche Zeit seit deren Ableben. RÌ_ckkehr der CdS nach Paris? Wird selbst auch nach Paris kommen. Seine groÌÙe Deutschland-Reise. Spaziergang im Leipziger Rosental. Stille der Deutschen; deren Sinn fÌ_r Ordnung und Ruhe. Freude, CdS in Paris zu sehen.";NA;NA;NA;Leipzig;https://www.geonames.org/2879139;"Alter/Jugend; Deutschland - Wahrnehmung";NA;NA;Male;NA
8078;CdS-b1-0879;CdS/17/267-268;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1838-12-01;Paris;https://www.geonames.org/2988507;NA;NA;Abschrift;vollstÌ_ndig;NA;3;Je reÌ¤ois ÌÊ l‰Ûªinstant, cher frÌ¬re, ta lettre du 29, qui s‰Ûªest croisÌ©e avec la mienne.;Dank fÌ_r Brief. Missstimmung zwischen T. und CdS. BestÌ_ndig negative Auslegung ihrer ÌãuÌÙerungen und Handlungen. Wunsch der CdS nach GesprÌ_ch, um Situation zu klÌ_ren. Versicherung ihrer groÌÙen Zuneigung. [Fortsetzung 1838-12-26:] SRDs Ankunft. Bitte um Treffen in Paris. PS: NeujahrswÌ_nsche.;"Salm-Reifferscheidt-Dyck, Joseph FÌ_rst und Altgraf zu (SRD); Saint-Mars, gÌ©nÌ©ral vicomte de (Bruder der SchwÌ_gerin der CdS)";"http://d-nb.info/gnd/1159074453; n/a";"http://viaf.org/viaf/1847152636116120051820; n/a";NA;NA;Freundschaft;male;NA;Female;NA
8080;CdS-b1-086b;CdS/17/205-206;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1836-09-15;Aventure / L'Aventure (Schloss), Gde. Chauny;https://www.geonames.org/3025860;NA;NA;Abschrift;vollstÌ_ndig;NA;2;ChÌ¬re sÒur, je veux t'Ì©crire depuis plusieurs jours, et plusieurs petites circonstances;Ts verspÌ_tetes Schreiben aufgrund des Besuchs eines jungen Ehepaars und seines schlechten Gesundheitszustands. Augenleiden der CdS. Ts kleinere BeschÌ_ftigungen (Lesen, Unterricht des Enkelkindes, Schach, Musik etc.). Interessanter Bericht von Charles. Sein intelligenter Enkel Arthur. Freundliches Verhalten der Familie Saint-Cricq gegenÌ_ber seiner Tochter als Zeichen, dass sie das Verhalten ihres Sohnes missbilligen, der in den Briefen nicht erwÌ_hnt wird. JosÌ©phine lebt wie eine Witwe, ihr Mann lebt in Pau. Absicht der CdS, eine Biographie Ì_ber ihren Vater zu schreiben. Kanonenfeuer in CompiÌ¬gne.;"ThÌ©is, Charles Constant de; ThÌ©is, Marie Alexandre de (Vater der CdS); Saint-Cricq, Auguste de (Ehemann von CdS' Nichte JosÌ©phine); Saint-Cricq, Pierre-Laurent-BarthÌ©lÌ©my de (Schwiegervater der JosÌ©phine); Saint-Cricq, Arthur de (Sohn der JosÌ©phine); ThÌ©is, JosÌ©phine de, verh. Saint-Cricq, gen. Finette";"http://d-nb.info/gnd/117624365; http://d-nb.info/gnd/123591031; n/a; n/a; n/a; n/a";"http://viaf.org/viaf/794527; http://viaf.org/viaf/63995993; http://viaf.org/viaf/313412975; http://viaf.org/viaf/38444704; n/a; n/a";"CompiÌ¬gne; Pau";"https://www.geonames.org/3024066; https://www.geonames.org/2988358";NA;male;female;Male;NA
8081;CdS-b1-086u;CdS/17/232-233;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1837-09-25;Aventure / L'Aventure (Schloss), Gde. Chauny;https://www.geonames.org/3025860;NA;NA;Abschrift;vollstÌ_ndig;NA;3;ChÌ¬re sÒur, j'ai voulu attendre, pour rÌ©pondre ÌÊ ta lettre du 1er de ce mois, que j'eusse reÌ¤u;RÌ_ckreise des Charles aus Bukarest mit Umweg Ì_ber Konstantinopel Ì_bers Meer nach Marseille. SchÌ¦ne Reise (Athen, Malta, Palermo). Wiedersehen in Paris, bis Charles zu seiner neuen Position nach Leipzig weiterreist. Gesundheitszustand des Enkels der CdS. Ruhiges Leben: Seine Tochter reist  2‰ÛÒ3 Mal im Jahr nach Paris. Alter.;"ThÌ©is, Charles Constant de; ThÌ©is, JosÌ©phine de, verh. Saint-Cricq, gen. Finette";"http://d-nb.info/gnd/117624365; n/a";"http://viaf.org/viaf/794527; n/a";"Marseille; Wien; Leipzig; Konstantinopel, siehe: Istanbul; Bukarest; Palermo; Athen; Malta";"https://www.geonames.org/2995469; https://www.geonames.org/2761369; https://www.geonames.org/2879139; https://www.geonames.org/745044; https://www.geonames.org/683506; https://www.geonames.org/2523920; https://www.geonames.org/264371; https://www.geonames.org/2562772";Reise/MobilitÌ_t;male;NA;Male;NA
8082;CdS-b1-0866;CdS/17/200-202;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1836-07-03;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;vollstÌ_ndig;NA;4;"J‰Ûªai Ì©tÌ© bien malade depuis quelque temps, cher frÌ¬re, je le suis encore;";Krankheit der CdS. Abneigung gegen Ìãrzte und deren Empfehlungen. Zahlreiche SchicksalsschlÌ_ge, Wunsch nach Ruhe. Trauer um Constant. Ts Augenleiden. Literarisches Andenken an den gemeinsamen Vater. [Fortsetzung 1836-07-04:] Biographischer Artikel der CdS Ì_ber T. CdS‰Ûª kleine Werkausgabe. Charles zu Besuch bei seinen Eltern. EnttÌ_uschung Ì_ber Charles‰Ûª mangelnde Anteilnahme an CdS‰Ûª Trauer um Constant. GrÌ_ÌÙe.;"Barbier, Antoine-Alexandre; Francq, Constant de; ThÌ©is, Charles Constant de; ThÌ©is, Marie Alexandre de (Vater der CdS)";"http://d-nb.info/gnd/116051795; n/a; http://d-nb.info/gnd/117624365; http://d-nb.info/gnd/123591031";"http://viaf.org/viaf/7386511; n/a; http://viaf.org/viaf/794527; http://viaf.org/viaf/63995993";NA;NA;"CdS: Õuvres complÌ¬tes (1842); Alter/Jugend; Tod/Trauer; CdS: VierbÌ_ndige Werkausgabe (1835/1836), 2 Prosa- und 2 PoesiebÌ_nde; Medizin/ Impfung";NA;male;Female;NA
8083;CdS-b1-085z;CdS/26/013-015;Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux;http://d-nb.info/gnd/116258659;http://viaf.org/viaf/59072566;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1815-11-06;Paris;https://www.geonames.org/2988507;NA;NA;Abschrift;vollstÌ_ndig;NA;4;Madame, j'ai bien tardÌ© ÌÊ vous remercier de l'aimable attention;D. lehnt dankend eine Anweisung von CdS zur finanziellen Besserstellung seiner Rente durch den Finanzminister ab, weil ihm die Sache zu aufwÌ_ndig ist. Er mÌ¦chte sich in Zukunft nur noch der Literatur widmen, berichtet von zwei bevorstehenden Buchprojekten. Dankt dennoch fÌ_r eine Summe Geld, fÌ_r die ihn CdS entschÌ_digt hat. Hat Ì_ber 5 Monate AuslÌ_nder beherbergt. MÌ¦chte auch einige Stiche verkaufen, die ihm wiederum Geld einbringen werden. Schwiegersohn von CdS hat Ds Landgut gekauft. Die TragÌ¦die ‰Û_NicodÌ»me‰ÛÏ von Delrieu wurde aufgefÌ_hrt. Picard macht seinem Bruder das Leben schwer.;"Delrieu, Ìätienne-Joseph-Bernard; Duval, Alexandre, eigentl. Alexandre-Vincent Pineux; Francq, Louis Bernard, baron de; Picard, Louis-BenoÌ¨t";"http://d-nb.info/gnd/115635912; http://d-nb.info/gnd/104201088; n/a; http://d-nb.info/gnd/100234526";"http://viaf.org/viaf/17233053; http://viaf.org/viaf/100176929; n/a; http://viaf.org/viaf/54241283";NA;NA;"Gesellschaftliches Leben; Wirtschaft/Finanzen";NA;male;Male;NA
8084;CdS-b1-0872;CdS/17/254-255;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;ThÌ©is, Alexandre Ìätienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1838-08-11;Dyck (Schloss), Gde. JÌ_chen;https://www.geonames.org/2894637;NA;NA;Abschrift;vollstÌ_ndig;NA;2;Je n‰Ûªentends point parler de toi, cher frÌ¬re, je pensais que tu m‰ÛªÌ©crirais un mot;Bedauern Ì_ber ausbleibende Briefe des T. Dessen Reise nach Leipzig [zu seinem Sohn Charles]. Ankunft der CdS und SRDs in Paris nach beschwerlicher Reise. Bitte um Berichte aus Leipzig. Gesundheit der Ehefrau des T. GrÌ_ÌÙe. PS: GrÌ_ÌÙe auch von SRD. Bedauern, dass T. keinen Zwischenhalt in Dyck eingelegt hat. FÌ©lix‰Ûª Gesundheit.;"Salm-Reifferscheidt-Dyck, Joseph FÌ_rst und Altgraf zu (SRD); Francq, FÌ©lix, baron de; ThÌ©is, Anne Marguerite de, geb. de Saint-Mars (Frau des Bruders der CdS); ThÌ©is, JosÌ©phine de, verh. Saint-Cricq, gen. Finette";"http://d-nb.info/gnd/1159074453; n/a; n/a; n/a";"http://viaf.org/viaf/1847152636116120051820; n/a; n/a; n/a";Leipzig;https://www.geonames.org/2879139;"Deutschland - Wahrnehmung; Reise/MobilitÌ_t";male;NA;Female;NA
