;FuD-Key;letzte Änderung;Dokumenttyp;URL;Nr.;Verfasser;GND (Verfasser);VIAF (Verfasser); Empfänger;GND (Empfänger);VIAF (Empfänger);Datierung (JJJJ-MM-TT);Alternative Datierung;Ausstellungsort;Geonames (Ausstellungsort);Empfangsort;Geonames (Empfangsort);Vorlage;Vollständigkeit des Archivals;Erläuterung Unvollständigkeit;Umfang in Seiten;Anfang des Briefes;Inhaltliche Stichpunkte;Weitere Personen;GND (Weitere Personen);VIAF (Weitere Personen);Orte;Geonames (Orte);Schlagwörter;Editionen;Vermerk;Bestand;Verweise;Digitalisate: Dateiname (Signatur);Zitierempfehlung
9345;CdS-b1-084j;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10813;CdS/17/070-073;"Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS); Théis, Adolphe de";"http://d-nb.info/gnd/120564734; n/a";"http://viaf.org/viaf/32148970; n/a";Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1832-03-15;;Limoges;https://www.geonames.org/2998286;;;Abschrift;vollständig;;6;Ma chère tante, mon père s’est bien acquitté de la commission que vous lui avez donnée ;Lange kein Brief wegen Krankheit des T. CdS bald wieder in Paris. Sehr rasches Einleben in Limoges, Zufriedenheit mit der neuen Situation, auch von Seiten seiner Mutter und Schwester. Sehr positive Beschreibung der Stadt und ihrer Einwohner. Wöchentlicher Salon. Ts Liebe zu Antiquitäten. Archäologische Grabungen im Stadtzentrum. Landschaftliche Schönheit der Region. Charles beruflicher Werdegang. Begegnung zwischen Charles und Alexandre, dessen militärische Erziehung. Wunsch, die Enkel der CdS bald wiederzusehen. Begeisterte Schilderung des Charakters und der Begabungen des dreijährigen Sohnes seiner Schwester Joséphine (Arthur). Joséphines Fortschritte in der Malerei. Hausangestellte Emélie. Grüße an SRD, die Enkel und Mademoiselle Dahmen. Fortsetzung des Briefs durch Alexandre de Théis, Bruder der CdS: Dank für Brief. CdS bald in Paris, T. in Limoges, weit entfernt von CdS und seiner Heimat. Schönheit der Landschaft. Vergleich der Einwohner der Region mit den Menschen in Paris und der Picardie. Erstaunlich große Anzahl der Nervenkranken. Zufriedenheit des T. mit seiner beruflichen Situation. Vorhaben, seine letzten Berufsjahre in Limoges zu verbringen und sich zum Ruhestand nach Aventure (im Sommer) und Paris (im Winter) zurückzuziehen. Alterserscheinungen. Bedauern, nicht schon einige Jahre früher zum Préfet ernannt worden zu sein.;"Dahmen, Ida, verh. Mengelbier; Francq, Félix, baron de; Francq, Constant de; Francq, Alexandre de; Théis, Charles Constant de; Saint-Cricq, Arthur de (Sohn der Joséphine); Théis, Anne Marguerite de, geb. de Saint-Mars (Frau des Bruders der CdS); Théis, Joséphine de, verh. Saint-Cricq, gen. Finette";"n/a; n/a; n/a; n/a; http://d-nb.info/gnd/117624365; n/a; n/a; n/a";"n/a; n/a; n/a; n/a; http://viaf.org/viaf/794527; n/a; n/a; n/a";"Picardie; Aventure / L'Aventure (Schloss), Gde. Chauny";"https://www.geonames.org/2987375; https://www.geonames.org/3025860";"Bildende Kunst; Karriere/-förderung; Familie/Familienrecht";;;Schloss Dyck;(https://constance-de-salm.de/archiv/#/document/9946);"CdS-b1-084j-0.jpg (CdS/17/070); CdS-b1-084j-1.jpg (CdS/17/071); CdS-b1-084j-2.jpg (CdS/17/072); CdS-b1-084j-3.jpg (CdS/17/073)";CdS/17/070-073. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10813.
6800;CdS-b1-084k;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10814;CdS/17/073-074;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1832-04-02;;Aachen;https://www.geonames.org/3247449;;;Abschrift;vollständig;;3;Il y a déjà quelques jours que j’ai reçu ta lettre, cher frère, et j’y aurais répondu à l’instant ;Meldung, wonach T. entlassen worden sei, hat sich als falsch erwiesen. CdS’ Erstaunen über die Tatsache, dass weder Adolphe noch T. in ihren Schreiben [CdS/71/074-076] Bezug nehmen auf CdS’ Klagen aus dem letzten Brief, auf die sie eine Antwort erbeten hatte. Angst vor möglicher Zensur? Bitte um Auskunft. Erinnerung an vergangene Missverständnisse, die zu schweren Konflikten zwischen beiden geführt haben. Enttäuschung über Ts scheinbare Gleichgültigkeit. [Fortsetzung 1832-04-06:] Ausbreitung der Cholera in Paris. Bitte um Briefe. SRDs botanische Arbeiten, Dank an T. für Liste seiner Pflanzen. Ausbreitung der Cholera über die französischen Grenzen hinaus?;"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Théis, Adolphe de";"http://d-nb.info/gnd/1159074453; n/a";"http://viaf.org/viaf/1847152636116120051820; n/a";;;"Botanik/Gartenkunst; Alter/Jugend; Cholera; Freundschaft; Familie/Familienrecht";;;Schloss Dyck;;"CdS-b1-084k-0.jpg (CdS/17/073-074); CdS-b1-084k-1.jpg (CdS/17/073-074)";CdS/17/073-074. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10814.
8070;CdS-b1-084l;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10815;CdS/17/077-079;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1832-05-10;;Limoges;https://www.geonames.org/2998286;;;Abschrift;vollständig;;4;Chère bonne sœur, j'ai reçu ta lettre en son temps, et elle m'a fait d'autant plus de plaisir;Freude über von CdS selbst geschriebenen Brief. Ts Altern. Seine Absicht, nach drei Jahren als Präfekt in Rente zu gehen. Seine Zuneigung zur Bevölkerung des Limousin. Ausbreitung der Cholera, Ts Departement ist bis jetzt kaum betroffen. Aufenthalt seiner Kinder in Paris während der Cholera. Schlechtes Verhalten des Ehemannes seiner Tochter. Diesbezüglicher Brief an dessen Vater, der daraufhin Auguste zu seinem Onkel schickt. Auseinandersetzung der CdS mit Adolphe. Verweis auf Adolphes Jugend, Ankündigung, dass es keine Entschuldigung von dessen Seite geben wird.;"Théis, Adolphe de; Saint-Cricq, Auguste de (Ehemann von CdS' Nichte Joséphine); Saint-Cricq, Pierre-Laurent-Barthélémy de (Schwiegervater der Joséphine); Théis, Joséphine de, verh. Saint-Cricq, gen. Finette; Saint-Cricq, Charles de";"n/a; n/a; n/a; n/a; n/a";"n/a; http://viaf.org/viaf/313412975; http://viaf.org/viaf/38444704; n/a; n/a";Creil;https://www.geonames.org/3022610;"Cholera; Familie/Familienrecht";;;Schloss Dyck;(https://constance-de-salm.de/archiv/#/document/5983);"CdS-b1-084l-0.jpg (CdS/17/077); CdS-b1-084l-1.jpg (CdS/17/078); CdS-b1-084l-2.jpg (CdS/17/079)";CdS/17/077-079. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10815.
5524;CdS-b1-084n;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10817;CdS/17/079-083;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1832-06-10;;;;;;Abschrift;vollständig;;7;Me voilà ici, cher frère, après avoir espéré inutilement pendant 2 mois de pouvoir faire le voyage de Paris. ;Rückkehr nach Dyck und Absage der Paris-Reise aus Furcht vor der Cholera. Trennung der Joséphine de Saint-Cricq, geb. de Théis, von ihrem Ehemann. CdS’ eigene Erfahrungen. Ratschlag an Joséphine, die Ehe nur aufzugeben, wenn es gar nicht anders geht. Unmöglichkeit der Wiederverheiratung gemäß der aktuellen Gesetzgebung. [Fortsetzung 1832-07-00:] Trauer um Cholera-Opfer in ihrem Bekanntenkreis. Nochmaliger Kommentar zu Auseinandersetzung um Adolphes Verhalten CdS gegenüber. Enttäuschung über Ts verspätete Reaktion und seine scheinbare Gleichgültigkeit. Empörung über Adolphes ausbleibende Bitte um Entschuldigung. Wechselhafte Beziehung der Geschwister CdS und T. [Fortsetzung 1832-07-25:] Tod des Thurot. Anspruchsvolles Berufsleben des T. Ausbreitung der Cholera. Grüße, auch von SRD.;"Théis, Charles Constant de; Théis, Adolphe de; Naigeon, Jean Guillaume Elzidor (gestorben an der Cholera, 1832); Théis, Joséphine de, verh. Saint-Cricq, gen. Finette; Thurot, Jean-François";"http://d-nb.info/gnd/117624365; n/a; n/a; n/a; http://d-nb.info/gnd/117627445";"http://viaf.org/viaf/794527; n/a; http://viaf.org/viaf/96394655; n/a; http://viaf.org/viaf/193518763";;;"Cholera; Freundschaft; Ehe/Liebe; Familie/Familienrecht";;;Schloss Dyck;;"CdS-b1-084n-0.jpg (CdS/17/079); CdS-b1-084n-1.jpg (CdS/17/080); CdS-b1-084n-2.jpg (CdS/17/081); CdS-b1-084n-3.jpg (CdS/17/082); CdS-b1-084n-4.jpg (CdS/17/083)";CdS/17/079-083. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10817.
9352;CdS-b1-084o;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10818;CdS/17/084-085;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Théis, Joséphine de, verh. Saint-Cricq, gen. Finette;;;1832-07-16;;Dyck (Schloss), Gde. Jüchen;https://www.geonames.org/2894637;;;Abschrift;vollständig;;3;Je veux joindre un mot pour toi, ma chère amie, à la lettre que j’écris à ton père. ;Js Trennung von ihrem Ehemann. Rat an J., möglichst nicht dauerhaft von ihrem Mann getrennt zu leben. Verweis auf Unannehmlichkeiten, mit denen eine Frau in dieser Position zu rechnen hat. Enttäuschung der CdS, nicht von J. persönlich von der Trennung erfahren zu haben. Verbleib in Dyck und Absage der Paris-Reise aufgrund der Ausbreitung der Cholera. Grüße, auch an Js Mutter. Grüße des Ehepaars Hompesch.;"Hompesch-Rurich, Johann Baptist Ludwig Graf von (1759-1833), Vater von Hermann Philipp; Hompesch, Thérèse-Angélique, Gräfin von, geb. von Aarschot-Schoonhoven";"n/a; n/a";"n/a; n/a";;;Ehe/Liebe;;;Schloss Dyck;;"CdS-b1-084o-0.jpg (CdS/17/084); CdS-b1-084o-1.jpg (CdS/17/085)";CdS/17/084-085. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10818.
6804;CdS-b1-084p;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10819;CdS/17/086-088;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1832-07-22;;Limoges;https://www.geonames.org/2998286;;;Abschrift;vollständig;;4;Chère sœur, voilà plusieurs mois écoulés, sans que nous ayons des nouvelles l’un de l’autre. ;Lange Zeit keine Nachrichten voneinander erhalten. Zwölfter Jahrestag des Todes der Minette. Betrachtungen des T. über seine berufliche Entwicklung in den vergangenen Jahren. Positive Bilanz seiner beruflichen und familiären Situation in Limoges. Inhalte und bisherige Erfolge seiner Amtsführung. Kaufmännisch ausgerichtete, sehr arbeitsame und weltoffene Bevölkerung. Ausbreitung der Cholera. Hoffnung, das Limousin werde verschont bleiben. Zahlreiche Todesfälle andernorts, darunter Naigeon und Thurot. Herkunft zahlreicher bedeutender Mediziner aus dem Limousin (unter anderem Dupuytren), deren Ansehen und Einfluss. Nachfrage nach CdS’ Befinden. Zukunftssorgen. Nachrichten von der Familie und bevorstehende Zusammenkunft aller Familienmitglieder in Limoges. Bitte um Nachrichten von CdS. PS: Husarenregiment unter dem Kommando des Monsieur de Bracq, Sohn eines alten Freundes der CdS.;"Théis, Charles Constant de; Théis, Adolphe de; Naigeon, Jean Guillaume Elzidor (gestorben an der Cholera, 1832); Dupuytren, Guillaume, baron; Le Trône (?) / Letrône, Monsieur; Brack (Bracq?), colonel (de?); Saint-Cricq, Arthur de (Sohn der Joséphine); Théis, Anne Marguerite de, geb. de Saint-Mars (Frau des Bruders der CdS); Théis, Joséphine de, verh. Saint-Cricq, gen. Finette; Thurot, Jean-François";"http://d-nb.info/gnd/117624365; n/a; n/a; http://d-nb.info/gnd/116254270; n/a; n/a; n/a; n/a; n/a; http://d-nb.info/gnd/117627445";"http://viaf.org/viaf/794527; n/a; http://viaf.org/viaf/96394655; http://viaf.org/viaf/34555314; n/a; n/a; n/a; n/a; n/a; http://viaf.org/viaf/193518763";Picardie;https://www.geonames.org/2987375;"Karriere/-förderung; Cholera; Medizin/ Impfung";;;Schloss Dyck;(https://constance-de-salm.de/archiv/#/document/9957);"CdS-b1-084p-0.jpg (CdS/17/086); CdS-b1-084p-1.jpg (CdS/17/087); CdS-b1-084p-2.jpg (CdS/17/088)";CdS/17/086-088. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10819.
9358;CdS-b1-084q;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10820;CdS/17/088-090;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1832-08-16;;Dyck (Schloss), Gde. Jüchen;https://www.geonames.org/2894637;;;Abschrift;vollständig;;4;"J’ai reçu ta lettre, il y a peu de jours, cher frère; elle s’est croisée avec la mienne ";Dank für Brief. Enttäuschung, abermals keine zufriedenstellende Antwort auf ihre Äußerungen bezüglich Adolphe erhalten zu haben. Unverständnis. Frage nach Gründen. Alexandre zu Besuch in Dyck. Hintergründe der Trennung der Joséphine de Saint-Cricq von ihrem Ehemann. Erinnerung an Jahrestag des Todes der Minette. Trost durch ihren Mann und die Enkel. Ungewisse politische Zukunft. Ausbreitung der Cholera. Keine Verstärkung der Truppen an der Grenze zu Frankreich.;"Francq, Alexandre de; Théis, Adolphe de; Théis, Joséphine de, verh. Saint-Cricq, gen. Finette";"n/a; n/a; n/a";"n/a; n/a; n/a";;;"Europa - Politik; Cholera; Freundschaft; Ehe/Liebe";;;Schloss Dyck;;"CdS-b1-084q-0.jpg (CdS/17/088); CdS-b1-084q-1.jpg (CdS/17/089); CdS-b1-084q-2.jpg (CdS/17/090)";CdS/17/088-090. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10820.
8075;CdS-b1-084s;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10822;CdS/17/090-091;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Théis, Charles Constant de;http://d-nb.info/gnd/117624365;http://viaf.org/viaf/794527;1832-08-17;;Dyck (Schloss), Gde. Jüchen;https://www.geonames.org/2894637;;;Abschrift;vollständig;;2;J’ai reçu ta lettre ces jours-ci, mon cher Charles, et écrivant à ton père, je veux profiter de l’occasion ;Dank für Brief. C.s Genesung nach Erkrankung. Zufriedenheit mit der Entwicklung ihrer Enkel. Sorge vor weiterer Ausbreitung der Cholera. Öffnung der Schwefelquellen in Aachen zur Abwehr der Krankheit. Pilger in Aachen zur Ausstellung der Reliquien. Ist C. Leser einer royalistischen Zeitung („La Quotidienne“)? Grüße. Rheumatische Beschwerden der CdS.;Francq, Alexandre de;;;;;"Religion/Kirche; Cholera; Presse";;;Schloss Dyck;;"CdS-b1-084s-0.jpg (CdS/17/090); CdS-b1-084s-1.jpg (CdS/17/091)";CdS/17/090-091. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10822.
5528;CdS-b1-084u;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10824;CdS/17/094-095;Théis, Adolphe de;;;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1832-09-08;;Limoges;https://www.geonames.org/2998286;;;Abschrift;vollständig;;3;Ma chère tante, mon père m'a montré la dernière lettre que vous lui avez écrite et j'ai été bien vivement affligé  ;Bedauern des A., dass er CdS Kummer verursacht hat. Versicherung, dass er die Güte der CdS nicht vergessen hat. A. hat sich bereits am Tag seiner Abreise bei CdS entschuldigt und dann vergessen, noch einmal bei CdS um Verzeihung zu bitten. Hoffnung, dass CdS ihm verzeiht. Anstrengende Beschäftigungen seines Vaters, dadurch Schwächung seines Gesundheitszustandes. Andauernde Freude der Familie über die schöne Gegend und den freundlichen Empfang. Magenleiden des A. Häufiges Zusammentreffen von Charles und Alexandre.;"Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS); Francq, Alexandre de; Théis, Charles Constant de";"http://d-nb.info/gnd/120564734; n/a; http://d-nb.info/gnd/117624365";"http://viaf.org/viaf/32148970; n/a; http://viaf.org/viaf/794527";;;;;;Schloss Dyck;(https://constance-de-salm.de/archiv/#/document/333);"CdS-b1-084u-0.jpg (CdS/17/094); CdS-b1-084u-1.jpg (CdS/17/095)";CdS/17/094-095. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10824.
10629;CdS-b1-084t;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10823;CdS/17/092-093;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1832-09-08;;Limoges;https://www.geonames.org/2998286;;;Abschrift;vollständig;;3;Chère sœur, j'ai reçu ta dernière lettre et j'ai vu avec peine que tu avais conservé;Bedauern, dass CdS immer noch über Adolphe verärgert ist. Dessen Entschuldigung. Bitte um Verständnis, dass ein junger Mann die politischen Umwälzungen zuerst anders sehen konnte als T. oder CdS. Baldige Rückkehr der CdS nach Paris, aber unklarer Zeitpunkt eines Zusammentreffens mit T. Anstrengungen seiner Position machen ihm im Alter mehr aus. Ts Abscheu vor Denunziationen, dreisten Ansprüchen etc. Zufriedenheit mit der Bevölkerung des Limousin. Cholera in der Umgebung. Ts Erkrankung (Erkältung) nach einer anstrengenden Reise durch das Departement.;Théis, Adolphe de;;;"Angoulême; Châteauroux; Agen";"https://www.geonames.org/3037598; https://www.geonames.org/3026204; https://www.geonames.org/3038634";"Alter/Jugend; Cholera";;;Schloss Dyck;(https://constance-de-salm.de/archiv/#/document/5984);"CdS-b1-084t-0.jpg (CdS/17/092); CdS-b1-084t-1.jpg (CdS/17/093)";CdS/17/092-093. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10823.
6808;CdS-b1-084r;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10821;CdS/26/136-138;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux;http://d-nb.info/gnd/116258659;http://viaf.org/viaf/59072566;1832-09-21;;Dyck (Schloss), Gde. Jüchen;https://www.geonames.org/2894637;;;Abschrift;vollständig;;4;J'ai reçu votre dernière lettre, mon ancien ami, au moment même où je venais de faire partir celle que vous devez avoir maintenant.;Sie hatte eben einen Brief an ihn abgeschickt, als sie seinen erhalten hat. Er war bereits besorgt, weil er so lange nichts von ihr gehört hat. Er ist auch niedergeschlagen wegen mehrerer schlechter Kritiken zu seinem letzten Werk. Sie hält aber wie einige andere ihrer gemeinsamen Freunde das Werk für sehr gelungen. Ihr neuestes Werk ist keine Épître, sondern eine Aneinanderreihung von literarischen und historischen Berichten. Die Cholera. In Dyck sind sie wohl sicher vor ihr. Ein Winter, den sie nicht in Paris, sondern in Dyck verbringt, ist für sie ähnlich schlimm wie die Cholera. Wiedersehen im Oktober in Paris. Sie wollte diesen Brief selbst schreiben, aber sie wird immer steifer. Das Alter.;;;;;;Briefpartner/Werk;;;Schloss Dyck;(https://constance-de-salm.de/archiv/#/document/5425);"CdS-b1-084r-0.jpg (CdS/26/136); CdS-b1-084r-1.jpg (CdS/26/137); CdS-b1-084r-2.jpg (CdS/26/138)";CdS/26/136-138. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10821.
9359;CdS-b1-084v;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10825;CdS/17/096-097;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Théis, Adolphe de;;;1832-10-10;;Dyck (Schloss), Gde. Jüchen;https://www.geonames.org/2894637;;;Abschrift;vollständig;;4;"J’aurais désiré pouvoir te répondre peu de jours après avoir reçu ta lettre, mon cher Adolphe;";Dank für Brief, der sie sehr berührt hat. Keine Erinnerung an zweimalige Entschuldigung, von der A. in seinem Brief spricht. Vorwurf, viel zu lange mit diesem Brief gewartet zu haben. Dennoch Verzeihung. Zuneigung der CdS zu Adolphe ähnlich der Liebe einer Mutter. Moralische Verpflichtungen des A. Grüße von SRD und den Enkeln. Besuch der Madame Nowakowski mit Töchtern in Dyck. CdS’ Eintreten für ihre politischen Überzeugungen. Besuch des preußischen Innenministers in Dyck. [Fortsetzung 1832-10-15:] Verspätete Absendung dieses Briefs. Cholera-Epidemie in Aachen.;"Francq, Félix, baron de; Nowakowsky, Madame de";"n/a; n/a";"n/a; n/a";;;"Frankreich - Politik; Cholera; Freundschaft; Familie/Familienrecht";;"Besuch der Madame de Nowakowsky, ""petite-fille de Madame Chommereau de Joigny, notre tante."" ";Schloss Dyck;;"CdS-b1-084v-0.jpg (CdS/17/096); CdS-b1-084v-1.jpg (CdS/17/097)";CdS/17/096-097. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10825.
6805;CdS-b1-084w;26.08.2021 10:44;Brief;https://constance-de-salm.de/archiv/#/document/10826;CdS/17/098-102;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS);http://d-nb.info/gnd/120564734;http://viaf.org/viaf/32148970;1832-10-22;Fortsetzung 1833-01-17;Dyck (Schloss), Gde. Jüchen;https://www.geonames.org/2894637;;;Abschrift;vollständig;;9;J’ai écrit ces jours-ci à Adolphe, cher frère. ;CdS' Brief an Adolphe. Richtigstellung: CdS hat während der Affäre um Adolphe nicht gelitten, sie war wütend. Klage der CdS, T. schreibe ihr oberflächliche Briefe und behalte alle wichtigen, familieninternen Dinge für sich. Unterschiedliche politische Überzeugungen der CdS und des T., unterschiedliche Entwicklung seit der Revolution. Dennoch kein Widerspruch zu inniger Geschwisterbeziehung. [Fortsetzung 1833-01-17:] CdS in Paris. Dank für Wünsche zum Jahresbeginn. Beiliegend Brief von Oktober, den sie bislang nicht abgeschickt hat. Bitte um offene Antwort. Jahrestag des Todes der Mutter. T.s Äußerungen zur Ehescheidung in seinem „Polyclète“. CdS’häufige Begegnungen mit Charles [de Théis]. Kritik an dessen mangelnder politischer Orientierung. CdS’ vermeintlich radikale Ansichten. Schwache Gesundheit des Charles. Reise des T. nach Paris? Brief für Charles. Zurückgezogenes Leben der CdS. Gesundheit der CdS.;"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Théis, Charles Constant de; Théis, Adolphe de; Théis, Anne Marie de, geb. Quillau (Mutter der CdS)";"http://d-nb.info/gnd/1159074453; http://d-nb.info/gnd/117624365; n/a; n/a";"http://viaf.org/viaf/1847152636116120051820; http://viaf.org/viaf/794527; n/a; n/a";;;"Frankreich - Politik; Freundschaft; Familie/Familienrecht";;;Schloss Dyck;;"CdS-b1-084w-0.jpg (CdS/17/098); CdS-b1-084w-1.jpg (CdS/17/099); CdS-b1-084w-2.jpg (CdS/17/100); CdS-b1-084w-3.jpg (CdS/17/101); CdS-b1-084w-4.jpg (CdS/17/102)";CdS/17/098-102. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/10826.
