FuD_Key;Verfasser;Verfasser_GND;Verfasser_VIAF;Empfaenger;Empfaenger_GND;Empfaenger_VIAF;Datierung;Datierung_alt;Ausstellungs_Ort;Ort_long;Ort_lat;Ausstellungsort_Geonames;Vorlage;Vollstaendigkeit;Erlaeuterung_Unvollstaendigkeit;Seiten;Anfang_Brief;Inhalt_Stichpunkte;Weitere_Personen;Weitere_Personen_GND;Weitere_Personen_VIAF;Orte;Orte_Geonames;Schlagwoerter;Editionen;Vermerk;Bestand;Verweise;Digitalisate_Signatur;Hand_Nr;Verfasser_1_Gender;Verfasser_2_Gender;Empfaenger_Gender;URL;Nr;sentiments;Austellungsort_Geonames;Austellungsort_Koordinaten
CdS-b1-075j;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1830-03-18;;Paris;2.3488;48.85341;;;vollständig;;2;J’ai été tellement accablée par une foule d’occupations et d’affaires de tout genre;CdS sehr beschäftigt, daher verspätete Antwort auf Ps letztes Schreiben. Freude über Ausgang des Prozesses zugunsten der Enkel. Arbeiten der CdS an der Vorbereitung ihrer Werkausgabe. SRD nicht in Paris. Sehr belastender Gedanke an die noch offenen Gerichtsverfahren. Vertrauen in Ps Fähigkeiten, Dankbarkeit und Hoffen auf ein baldiges Ende. Nochmaliges Bedauern, P. nicht geantwortet zu haben. Erklärungen. Veröffentlichung des neuen Werks auf nächsten Winter verschoben. CdS‘ Rückkehr nach Dyck in zwei oder drei Wochen. Winter in Paris ohne SRD verbracht. Bedauern, P. wieder nicht gesehen zu haben. Bitte, ihr mitzuteilen, ob P. in absehbarer Zeit eine Reise nach Paris plant.;"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Francq, drei Enkel der CdS; Saint-Mars, général vicomte de (Bruder der Schwägerin der CdS); Berville, Saint-Albin";"http://d-nb.info/gnd/1159074453; n/a; n/a; http://d-nb.info/gnd/123728851";"http://viaf.org/viaf/1847152636116120051820; n/a; n/a; http://viaf.org/viaf/46869684";;;"CdS: Édition générale bzw. oeuvres choisies (Publikationsvorhaben ab 1825); Familie/Familienrecht";;;Schloss Dyck;;"CdS-b1-075j-0.jpg (CdS/02_4/142); CdS-b1-075j-1.jpg (CdS/02_4/143)";main3;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/9496;CdS/02_4/142-143;neutral;https://www.geonames.org/2988507;48.85341, 2.3488
CdS-b1-075v;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Boucharlat, Jean-Louis;http://d-nb.info/gnd/117622192;http://viaf.org/viaf/2807366;1831-08-23;;Paris;2.3488;48.85341;;;vollständig;;2;Je veux, Monsieur, vous écrire un mot pour vous dire, moi-même, que je suis arrivée en assez bonne santé;Ankunft in Dyck. Bericht durch Drais. Bitte um Nachrichten aus Paris. CdS’ Bezug mehrerer Zeitungen: „Constitutionnel“, „Tribune“, „Corsaire“, dazu deutsche und belgische Blätter. Stabile und ruhige Lage in Dyck. Keinerlei Kriegsvorbereitungen erkennbar. Friedliche Gesinnung des preußischen Königs, die ihm in der Bevölkerung höchste Anerkennung verschafft. Bedauerlich: seine Unterstützung für Russland. Verbreitung der Cholera. Vorsichtsmaßnahmen in Belgien schüren Ängste. Reise über Aachen nach Paris. Letzte Arbeiten an einem neuen Werk. Gute Gesundheit. Grüße an seine Frau und Kinder, auch von SRD und den Enkeln.;Friedrich Wilhelm III., König von Preußen;http://d-nb.info/gnd/118535986;http://viaf.org/viaf/774683;"Russland; Belgien; Preußen; Niederlande";"https://www.geonames.org/2017370; https://www.geonames.org/2802361; n/a; https://www.geonames.org/2918632";"Europa - Politik; Krieg/Konflikt; Cholera";;;Schloss Dyck;;"CdS-b1-075v-0.jpg (CdS/02_4/263); CdS-b1-075v-1.jpg (CdS/02_4/264)";main3;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/9509;CdS/02_4/263-264;positif;https://www.geonames.org/2988507;48.85341, 2.3488
CdS-b1-074v;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Boucharlat, Jean-Louis;http://d-nb.info/gnd/117622192;http://viaf.org/viaf/2807366;1829-12-05;;Aachen;6.08342;50.77664;;;vollständig;;2;J’ai reçu vos deux lettres, Monsieur, je les ai lues avec le plus vif intérêt, et je vous aurais répondu;Dank für zwei Briefe. Bevorstehende Abreise nach Paris. Bitte um Besuch. Abstimmung über weiteres Vorgehen in der Angelegenheit der Académie de Lyon. Rückkehr der Tochter des B. von ihrer Reise. Keine großen Abendgesellschaften der CdS, bevor nicht SRD auch in Paris sein wird (ab Februar). Diktierter Brief. Schwere Erkältung der CdS. Offizielle Ankündigung ihrer Ankunft.;"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Boucharlat, Tochter, siehe: Mathon de Fogères, Madame";"http://d-nb.info/gnd/1159074453; n/a";"http://viaf.org/viaf/1847152636116120051820; n/a";;;"Gelehrte Gesellschaft; Salon/Gesellschaften";;;Schloss Dyck;;"CdS-b1-074v-0.jpg (CdS/02_4/123); CdS-b1-074v-1.jpg (CdS/02_4/124)";main3;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/9472;CdS/02_4/123-124;positif;https://www.geonames.org/3247449;50.77664, 6.08342
CdS-b1-0757;Villenave, Mathieu-Guillaume-Thérèse;http://d-nb.info/gnd/117702587;http://viaf.org/viaf/2587165;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;1830-02-02;;Paris;2.3488;48.85341;;;vollständig;;2;Princesse, je connais une femme qui ne manque ni d’esprit, ni d’instruction, et dont le cœur est excellent;Bemerkung zum Thema Unglück und Unrecht. Klage des V. über sehr kühlen Empfang durch CdS, nachdem er große Mühen auf sich genommen hat, um CdS besuchen. Klage über mangelnde Anteilnahme der CdS an seiner Krankheit. Sonstige Freuden und Erfolge sind ihm nichts wert, solange CdS sich ihm gegenüber derart distanziert zeigt.;Riche de Prony, Gaspard, baron;http://d-nb.info/gnd/124162878;http://viaf.org/viaf/49335766;;;Freundschaft;;Anmerkung der CdS: Cette lettre et les suivantes, sur le même sujet, doivent être relues avec soin et puis être supprimées.;Schloss Dyck;;"CdS-b1-0757-0.jpg (CdS/02_4/131); CdS-b1-0757-1.jpg (CdS/02_4/132)";main3;Male;;Female;https://constance-de-salm.de/archiv/#/document/9484;CdS/02_4/131-132;positif;https://www.geonames.org/2988507;48.85341, 2.3488
CdS-b1-075q;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Ladoucette, Jean Charles François, baron de;http://d-nb.info/gnd/116643919;http://viaf.org/viaf/89245444;;;Paris;2.3488;48.85341;;;vollständig;;1;Voilà six exemplaires pour la Pandore, le Journal des dames et celui des artistes.;Beiliegend sechs Exemplare der neuesten Épître zur Weiterleitung an verschiedene Zeitungen. Bitte an L., diesen wichtigen Gefallen schnellstmöglich zu erledigen. Sendung eines weiteren Exemplars direkt an Pougens. Sorge, Pougens könne sich an CdS’ Bemerkungen über Russland stören. Dank.;Pougens, Charles de;http://d-nb.info/gnd/100229573;http://viaf.org/viaf/100206876;Russland;https://www.geonames.org/2017370;"Constance de Salm - Vermarktung; CdS: Épître aux souverains absolus (1831)";;;Schloss Dyck;;CdS-b1-075q-0.jpg (CdS/02_4/234);main3;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/9504;CdS/02_4/234;positif;https://www.geonames.org/2988507;48.85341, 2.3488
CdS-b1-077b;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Naigeon, Céleste;;;1835-01-29;;Aachen;6.08342;50.77664;;;vollständig;;2;C’est avec beaucoup de plaisir, ma chère amie, que j’ai reçu et lu votre lettre.;Dank für Brief. Sorge um Constant, dessen Zustand sich unaufhaltsam verschlechtert. Zweifel der CdS an Fähigkeiten der deutschen Mediziner. Konsultation ihres Pariser Arztes Cloquet. Hoffnung auf baldige Abreise nach Paris. Constants Krankheit als Ergebnis eines zu starken Wachstumsschubes, verbunden mit zu großer Arbeitsbelastung und einer Veranlagung zu Lungenproblemen. CdS‘ Gesundheit. Begleitung durch Félix. Alexandres Ernennung zum Offizier und Entsendung nach Saumur. Grüße an gemeinsame Freunde und ihre Familie.;"Francq, Félix, baron de; Francq, Constant de; Francq, Alexandre de; Drais, Pierre (Vertrauensmann der CdS); Cloquet, Jules Germain (Arzt)";"n/a; n/a; n/a; http://d-nb.info/gnd/1188442287; http://d-nb.info/gnd/116546271";"n/a; n/a; n/a; http://viaf.org/viaf/24156073846353862446; http://viaf.org/viaf/61623369";Saumur;https://www.geonames.org/2975758;"Militär; Gesundheit/Krankheit; Medizin/ Impfung";;;Schloss Dyck;;"CdS-b1-077b-0.jpg (CdS/02_6/010); CdS-b1-077b-1.jpg (CdS/02_6/011)";main4;Female;Female;Male;https://constance-de-salm.de/archiv/#/document/9561;CdS/02_6/010-011;positif;https://www.geonames.org/3247449;50.77664, 6.08342
CdS-b1-077g;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Sanson de Pongerville, Jean-Baptiste;http://d-nb.info/gnd/1157716393;http://viaf.org/viaf/275152636064220050966;1834-10-13;;Dyck (Schloss), Gde. Jüchen;6.5;51.1;;;vollständig;;2;"Depuis longtemps, je songe à vous écrire, / Et cependant, je ne vous écris pas. / Ce doux transport poétique délire, / Qui m’a toujours soumise à son empire;";Brief in Versform. Bedauern, nicht früher geschrieben zu haben. Viel Arbeit, viele Verpflichtungen. Hohes Alter (68 Jahre). Literarische Arbeit, Freundschaft.;;;;;;;;;Schloss Dyck;;"CdS-b1-077g-0.jpg (CdS/02_6/014); CdS-b1-077g-1.jpg (CdS/02_6/015)";main4;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/9566;CdS/02_6/014-015;positif;https://www.geonames.org/2894637;51.1, 6.5
CdS-b1-0774;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux;http://d-nb.info/gnd/116258659;http://viaf.org/viaf/59072566;1834-12-27;;Dyck (Schloss), Gde. Jüchen;6.5;51.1;;;vollständig;;4;Monsieur Drais m’a écrit, Monsieur et ancien ami, qu’il vous avait vu, et que vous vous plaigniez de mon silence.;Gegenseitiger Vorwurf, nichts von sich hören zu lassen. Constants Krankheit. Enttäuschung, in dieser schwierigen Zeit keinen Brief von D. erhalten zu haben. Unveränderter Vorwurf seit dreißig Jahren – ohne Ergebnis. Constants Krankheitsverlauf. Reisepläne abhängig von Constants Zustand. Hoffnung, ihn in Aachen oder in Paris in medizinische Behandlung zu geben. Warten auf eine Diagnose Cloquets. Auseinandersetzung der CdS mit der Familie ihres Bruders über ihre unterschiedlichen politischen Ansichten. Große Enttäuschung und Betroffenheit der CdS. Vermutung, nicht ihr Bruder, sondern dessen Frau und Tochter seien Urheberinnen des Zerwürfnisses. Bitte um Diskretion. Freundschaft zu Ds Bruder bleibt bestehen trotz unterschiedlicher politischer Ansichten. Grüße an Ds Bruder. Erkundigung nach Ds Schwager. Inhaftierung von fünf vermeintlichen „Propagandisten“. Bitte um Antwort.;"Duval, Alexandre, eigentl. Alexandre-Vincent Pineux; Francq, Constant de; Drais, Pierre (Vertrauensmann der CdS); Cloquet, Jules Germain (Arzt)";"http://d-nb.info/gnd/104201088; n/a; http://d-nb.info/gnd/1188442287; http://d-nb.info/gnd/116546271";"http://viaf.org/viaf/100176929; n/a; http://viaf.org/viaf/24156073846353862446; http://viaf.org/viaf/61623369";Aachen;https://www.geonames.org/3247449;"Freundschaft; Gesundheit/Krankheit; Familie/Familienrecht";;;Schloss Dyck;;"CdS-b1-0774-0.jpg (CdS/02_5/284); CdS-b1-0774-1.jpg (CdS/02_5/285)";main3;Female;Female;Male;https://constance-de-salm.de/archiv/#/document/9554;CdS/02_5/284-285;positif;https://www.geonames.org/2894637;51.1, 6.5
CdS-b1-077n;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Hompesch, Thérèse-Angélique, Gräfin von, geb. von Aarschot-Schoonhoven;;;1835-02-22;;Aachen;6.08342;50.77664;;;vollständig;;4;Après avoir vu vos chers enfants, ma bien chère voisine et amie, j’éprouve le besoin de jaser avec vous, et d’autant plus;Begegnung mit Hs Sohn und Schwiegertochter. CdS’ bevorstehende Weiterreise nach Paris. Feier des Präsidenten, zu der CdS entgegen ihrer Gewohnheit abends das Haus verlassen hat. Unglück im Hause H.: Gefahr, in der der frühere Hauslehrer der Kinder schwebt. Klage der CdS über das unzählige Leid, das das Leben bereithält. Verschlechterung des Gesundheitszustands ihres Enkels Constant nach Ankunft in Aachen. Unklarheit über die Ursachen der Krankheit. Zusammenhang zur Krebserkrankung, an der Constants Vater verstorben ist? Ratlosigkeit der Ärzte. Hoffnung der CdS und Absicht, so bald wie möglich mit Constant nach Paris zu reisen. Gesundheit der CdS, derzeit keine Arbeit. Angenehmes Leben in Aachen. Freude über Wiedersehen mit Hermann Hompesch und seiner Frau. Deren Gesundheitszustand nach mehreren Schwangerschaften und Entbindungen. Freude der CdS, H. im Kreis ihrer Familie und vieler Kinder zu wissen. Einsamkeit als schlimmstes Übel im Alter. Vorhaben eines Besuchs bei H. nach der Rückkehr aus Paris.;"Francq, Louis Bernard, baron de; Hompesch-Rurich, Graf Herrmann Philipp von (1797-1857); Hompesch-Rurich, Octavia Philippine von (Ehefrau Hermann Philipps); Le Suin, Monsieur (Arzt in Aachen)";"n/a; n/a; n/a; n/a";"n/a; n/a; n/a; n/a";;;"Gesellschaftliches Leben; Tod/Trauer; Gesundheit/Krankheit; Medizin/ Impfung";;;Schloss Dyck;;"CdS-b1-077n-0.jpg (CdS/02_6/023); CdS-b1-077n-1.jpg (CdS/02_6/024); CdS-b1-077n-2.jpg (CdS/02_6/025)";main4;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/9573;CdS/02_6/023-025;positif;https://www.geonames.org/3247449;50.77664, 6.08342
CdS-b1-076e;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Delestre-Poirson, Charles-Gaspard;http://d-nb.info/gnd/121685578;http://viaf.org/viaf/14768556;1833-06-29;;Paris;2.3488;48.85341;;;vollständig;;1;Quoique je vous aie dit hier, Monsieur, combien j’étais sensible à l’accueil que l’Athénée a fait;"; Freude der CdS über positive Aufnahme ihres Werks im Athénée. Bedauern, aus gesundheitlichen Gründen nicht an Zusammenkünften des Athénée teilnehmen zu können. Eindruck, den „Mes soixante ans“ auf D. gemacht hat. Dank für Lob.";;;;;;"Gelehrte Gesellschaft; CdS: Mes soixante ans, ou Mes souvenirs politiques et littéraires (1833)";;;Schloss Dyck;;CdS-b1-076e-0.jpg (CdS/02_5/117);main3;Female;Female;Male;https://constance-de-salm.de/archiv/#/document/9528;CdS/02_5/117;positif;https://www.geonames.org/2988507;48.85341, 2.3488
CdS-b1-076g;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Berville, Saint-Albin;http://d-nb.info/gnd/123728851;http://viaf.org/viaf/46869684;1833-07-10;;Paris;2.3488;48.85341;;;vollständig;;1;Je veux pendant que je suis encore ici, Monsieur, vous dire que j’ai lu votre notion historique;CdS’ Lob zu Bs Artikel über den verstorbenen Andrieux. Dank für Erwähnung der CdS in diesem Text. Ihre Abreise aus Paris verzögert sich um zwei Tage. Einladung für den folgenden Tag. Mindestens viermonatige Abwesenheit der CdS von Paris.;Andrieux, François;http://d-nb.info/gnd/116310197;http://viaf.org/viaf/2465625;;;Briefpartner/Werk;;;Schloss Dyck;;CdS-b1-076g-0.jpg (CdS/02_5/120);main3;Female;Female;Male;https://constance-de-salm.de/archiv/#/document/9530;CdS/02_5/120;neutral;https://www.geonames.org/2988507;48.85341, 2.3488
CdS-b1-076x;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Boucharlat, Jean-Louis;http://d-nb.info/gnd/117622192;http://viaf.org/viaf/2807366;1834-01-12;1834-01-02 [Alternativdatum auf anderer Abschrift CdS/83/063-064];Aachen;6.08342;50.77664;;;vollständig;;2;J’écris encore aujourd’hui, Monsieur, à Monsieur Drais, et je veux profiter de cette occasion pour ajouter;Brief an Drais. CdS’ Ärger über eine Angelegenheit, die sich inzwischen geklärt hat. Bitte an B., CdS regelmäßig Nachrichten aus dem Literaturbetrieb zukommen zu lassen. Der besondere Grund hat keine Bedeutung mehr. Bitte um Diskretion. Baldiges Wiedersehen in Paris. PS: Brief von der Académie de Lyon, ebenso Briefe von Villenave und Jullien mit Berichten über Bs Lesungen in der Société philotechnique und in der Académie.;"Villenave, Mathieu-Guillaume-Thérèse; Jullien de Paris, Marc-Antoine";"http://d-nb.info/gnd/117702587; http://d-nb.info/gnd/118558730";"http://viaf.org/viaf/2587165; http://viaf.org/viaf/76375537";Lyon;https://www.geonames.org/2996944;"Gelehrte Gesellschaft; Literarisches Geschehen/Neuerscheinung";;;Schloss Dyck;;"CdS-b1-076x-0.jpg (CdS/02_5/214); CdS-b1-076x-1.jpg (CdS/02_5/215)";main3;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/9547;CdS/02_5/214-215;neutral;https://www.geonames.org/3247449;50.77664, 6.08342
CdS-b1-0779;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Ladoucette, Jean Charles François, baron de;http://d-nb.info/gnd/116643919;http://viaf.org/viaf/89245444;1835-01-09;;Dyck (Schloss), Gde. Jüchen;6.5;51.1;;;vollständig;;3;"Je pars après demain pour Aix, Monsieur le baron; je suis accablée d’embarras de départ";Bevorstehende Abreise. Dank für Brief. Ls Bitte um Auskünfte von Sandt. CdS’ Rat, sich an Schweighauser zu wenden, mit dem sie besser bekannt ist. Brief an Montigny. Ernennung Baviers zum Korrespondenten der Société philotechnique. Ls neue Funktionen? Ls Bericht über Sitzung der Société philotechnique, seine Funktion als deren Generalsekretär. CdS’ eindringlicher Rat an L., sich auch weiterhin in der Société philotechnique zu engagieren und nicht alles seiner politischen Karriere zu opfern. CdS’ grundsätzlich skeptische Haltung gegenüber gelehrten Gesellschaften. Weiterreise nach Paris abhängig von Constants Gesundheitszustand. Dessen Krankheitsverlauf.;"Francq, Constant de; Bavier, Major de; Sandt, Monsieur de (Major); Schweighauser, Herr (aus Hamburg); Montigny, Caroline de";"n/a; n/a; n/a; n/a; http://d-nb.info/gnd/117134201";"n/a; n/a; n/a; n/a; http://viaf.org/viaf/57384509";;;"Gelehrte Gesellschaft; Gesundheit/Krankheit";;;Schloss Dyck;;"CdS-b1-0779-0.jpg (CdS/02_6/006); CdS-b1-0779-1.jpg (CdS/02_6/007)";main4;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/9559;CdS/02_6/006-007;neutral;https://www.geonames.org/2894637;51.1, 6.5
CdS-b1-076s;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Stassart, Goswin Joseph Augustin, baron de;http://d-nb.info/gnd/117218243;http://viaf.org/viaf/54263566;1833-09-02;;Dyck (Schloss), Gde. Jüchen;6.5;51.1;;;vollständig;;1;Je fais mettre à la poste aujourd’hui, Monsieur le baron, le numéro du Constitutionnel et celui du Messager;Versand von Zeitungsexemplaren per Post. Darin enthalten Rezensionen zu CdS‘ „Mes soixante ans“. Weiterer Artikel von Jullien. Bedauern von Unannehmlichkeiten für S. Dank für Brief. Sein Eindruck von „Mes soixante ans“ nach der vollständigen Lektüre. PS: SRD mit nach Paris. Grüße an S.‘ Ehefrau.;"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Jullien de Paris, Marc-Antoine; Stassart, Madame de";"http://d-nb.info/gnd/1159074453; http://d-nb.info/gnd/118558730; n/a";"http://viaf.org/viaf/1847152636116120051820; http://viaf.org/viaf/76375537; n/a";;;"Constance de Salm - Vermarktung; Constance de Salm - Rezeption; CdS: Mes soixante ans, ou Mes souvenirs politiques et littéraires (1833)";;;Schloss Dyck;;CdS-b1-076s-0.jpg (CdS/02_5/151);main3;Female;Female;Male;https://constance-de-salm.de/archiv/#/document/9542;CdS/02_5/151;neutral;https://www.geonames.org/2894637;51.1, 6.5
CdS-b1-076l;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829);http://d-nb.info/gnd/121286169;http://viaf.org/viaf/17555308;1829-02-04;;Aachen;6.08342;50.77664;;;vollständig;;3;Je reçois à l’instant même, Monsieur, votre lettre datée du 9 janvier;Finanzielle Ansprüche der CdS gegenüber der Familie Pipelet. Weiteres Vorgehen. Persönliches Gespräch in Paris. Baldige Abreise. PS: Brief an CdS’ Bruder. Bitte um direkte Kontaktaufnahme mit Lemaître.;"Pipelet, Jean-Baptiste; Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS); Evelt, Christian (Rechtsanwalt in Düsseldorf); Lemaître, Monsieur (CdS' Anwalt in Laon)";"n/a; http://d-nb.info/gnd/120564734; http://d-nb.info/gnd/117736961; n/a";"https://viaf.org/viaf/188712285; http://viaf.org/viaf/32148970; http://viaf.org/viaf/54933372; n/a";;;"Wirtschaft/Finanzen; Prozess/Gericht";;;Schloss Dyck;;"CdS-b1-076l-0.jpg (CdS/31/123); CdS-b1-076l-1.jpg (CdS/31/124)";main1;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/9535;CdS/31/123-124;neutral;https://www.geonames.org/3247449;50.77664, 6.08342
CdS-b1-0769;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;Sanson de Pongerville, Jean-Baptiste;http://d-nb.info/gnd/1157716393;http://viaf.org/viaf/275152636064220050966;1833-05-31;;Paris;2.3488;48.85341;;;vollständig;;1;Voilà enfin mes „Souvenirs“ que je me suis décidée à publier avant mon Épître politique.;Beiliegend ein Exemplar ihrer Schrift „Mes soixante ans“, die sie nun doch vor ihrer politischen Épître veröffentlicht hat. SRD in Dyck. Wunsch, das Ehepaar S. noch vor ihrer Abreise zu sehen. Einladung für Freitag.;;;;;;CdS: Mes soixante ans, ou Mes souvenirs politiques et littéraires (1833);;;Schloss Dyck;;CdS-b1-0769-0.jpg (CdS/02_5/094);main3;Female;Female;Female;https://constance-de-salm.de/archiv/#/document/9523;CdS/02_5/094;neutral;https://www.geonames.org/2988507;48.85341, 2.3488
CdS-b1-077u;Drais, Pierre (Vertrauensmann der CdS);http://d-nb.info/gnd/1188442287;http://viaf.org/viaf/24156073846353862446;Salm, Constance de (CdS);http://d-nb.info/gnd/116765968;https://viaf.org/viaf/121051;;vor dem 1835-03-09 (Todestag des Constant);Paris;2.3488;48.85341;;;vollständig;;2;Madame la Princesse, je me suis acquitté de mon bien triste message auprès de Mesdames Vien, Naigeon, Leroi,;Weitergabe der Nachricht von Constants sehr kritischem Zustand an CdS’ Freunde und Bekannte in Paris. Versuch, Ursache und Wesen der Krankheit zu verstehen. Suche um Rat bei Cloquet. Letzte Hoffnung. Bedauern der Freunde und Ds, CdS nicht in Paris zu wissen. Planung der nächsten Veröffentlichung, Probedrucke der Abbildungen, Zusammenarbeit mit Tardieu. Weiteres Vorgehen in der Angelegenheit mit Saint-Mars? Frage nach Befinden des SRD und des Félix. D.s Mitgefühl, seine Hoffnung.;"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux; Naigeon, Céleste; Vien, Rose Céleste, geb. Bache; Francq, Constant de; Jullien de Paris, Marc-Antoine; Mirault, Monsieur (Claude-François?, Mitglied des Athénée des arts); Cloquet, Jules Germain (Arzt); Ladoucette, Jean Charles François, baron de; Tardieu, Pierre Alexandre; Saint-Mars, général vicomte de (Bruder der Schwägerin der CdS); Fossé-Darcosse, François Barthélémy Thérèse Émilien; Leroy de Bacre, Félicie, geb. Dalpayet";"http://d-nb.info/gnd/116258659; n/a; http://d-nb.info/gnd/1013217446; n/a; http://d-nb.info/gnd/118558730; http://d-nb.info/gnd/1055576428; http://d-nb.info/gnd/116546271; http://d-nb.info/gnd/116643919; http://d-nb.info/gnd/11722913X; n/a; http://d-nb.info/gnd/1157641008; n/a";"http://viaf.org/viaf/59072566; n/a; http://viaf.org/viaf/173604089; n/a; http://viaf.org/viaf/76375537; http://viaf.org/viaf/171243712; http://viaf.org/viaf/61623369; http://viaf.org/viaf/89245444; http://viaf.org/viaf/54293867; n/a; http://viaf.org/viaf/80152636172120052960; n/a";;;"CdS: Édition générale bzw. oeuvres choisies (Publikationsvorhaben ab 1825); Gesundheit/Krankheit; Medizin/ Impfung";;;Schloss Dyck;;CdS-b1-077u-0.jpg (CdS/02_6/032);main4;Male;;Female;https://constance-de-salm.de/archiv/#/document/9580;CdS/02_6/032;négatif;https://www.geonames.org/2988507;48.85341, 2.3488
